#0.000000e+00 0.000000e+00 -2.500000e-01 8.000000e-02 8.000000e-02 5.000000e-01
#time r_i_B0(1) r_i_B0(2) r_i_B0(3)  T_B0(1,1)  T_B0(2,1)  T_B0(3,1)  T_B0(1,2)  T_B0(2,2)  T_B0(3,2)  T_B0(1,3)  T_B0(2,3)  T_B0(3,3) 
1.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.999415e-01 -1.081356e-02 0.000000e+00 1.081356e-02 9.999415e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
1.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.999033e-01 -1.390859e-02 0.000000e+00 1.390859e-02 9.999033e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
1.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.998466e-01 -1.751427e-02 0.000000e+00 1.751427e-02 9.998466e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
1.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.997653e-01 -2.166255e-02 0.000000e+00 2.166255e-02 9.997653e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
1.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.996519e-01 -2.638483e-02 0.000000e+00 2.638483e-02 9.996519e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
1.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.994970e-01 -3.171212e-02 0.000000e+00 3.171212e-02 9.994970e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
1.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.992900e-01 -3.767520e-02 0.000000e+00 3.767520e-02 9.992900e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
1.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.990181e-01 -4.430479e-02 0.000000e+00 4.430479e-02 9.990181e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
1.890000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.986662e-01 -5.163167e-02 0.000000e+00 5.163167e-02 9.986662e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
1.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.982172e-01 -5.968670e-02 0.000000e+00 5.968670e-02 9.982172e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
2.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.976511e-01 -6.850088e-02 0.000000e+00 6.850088e-02 9.976511e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
2.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.969451e-01 -7.810532e-02 0.000000e+00 7.810532e-02 9.969451e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
2.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.960734e-01 -8.853112e-02 0.000000e+00 8.853112e-02 9.960734e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
2.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.950066e-01 -9.980927e-02 0.000000e+00 9.980927e-02 9.950066e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
2.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.937115e-01 -1.119704e-01 0.000000e+00 1.119704e-01 9.937115e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
2.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.921512e-01 -1.250444e-01 0.000000e+00 1.250444e-01 9.921512e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
2.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.902840e-01 -1.390600e-01 0.000000e+00 1.390600e-01 9.902840e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
2.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.880639e-01 -1.540446e-01 0.000000e+00 1.540446e-01 9.880639e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00
