#0.000000e+00 2.500000e-01 0.000000e+00 3.000000e-02 5.000000e-01 3.000000e-02
#time r_i_B0(1) r_i_B0(2) r_i_B0(3)  T_B0(1,1)  T_B0(2,1)  T_B0(3,1)  T_B0(1,2)  T_B0(2,2)  T_B0(3,2)  T_B0(1,3)  T_B0(2,3)  T_B0(3,3) 
8.690000e-01 5.651760e-03 2.971100e-01 4.021116e-01 -1.134706e-02 1.526326e-02 -9.998191e-01 -5.965085e-01 8.023814e-01 1.901901e-02 8.025265e-01 5.966164e-01 6.123234e-17
8.790000e-01 4.609283e-03 3.031426e-01 3.975969e-01 -9.250929e-03 1.206478e-02 -9.998844e-01 -6.084137e-01 7.934744e-01 1.520324e-02 7.935661e-01 6.084840e-01 6.123234e-17
8.890000e-01 3.677614e-03 3.086637e-01 3.933360e-01 -7.378564e-03 9.353880e-03 -9.999290e-01 -6.192860e-01 7.850751e-01 1.191379e-02 7.851308e-01 6.193299e-01 6.123234e-17
8.990000e-01 2.860105e-03 3.136846e-01 3.893505e-01 -5.736488e-03 7.086576e-03 -9.999584e-01 -6.291546e-01 7.772267e-01 9.117393e-03 7.772591e-01 6.291807e-01 6.123234e-17
9.090000e-01 2.157592e-03 3.182230e-01 3.856546e-01 -4.326129e-03 5.220403e-03 -9.999770e-01 -6.380603e-01 7.699566e-01 6.779970e-03 7.699743e-01 6.380749e-01 6.123234e-17
9.190000e-01 1.568443e-03 3.223022e-01 3.822549e-01 -3.143938e-03 3.714388e-03 -9.999882e-01 -6.460537e-01 7.632765e-01 4.866315e-03 7.632855e-01 6.460613e-01 6.123234e-17
9.290000e-01 1.088628e-03 3.259498e-01 3.791511e-01 -2.181575e-03 2.528891e-03 -9.999944e-01 -6.531931e-01 7.571840e-01 3.339844e-03 7.571882e-01 6.531968e-01 6.123234e-17
9.390000e-01 7.118260e-04 3.291967e-01 3.763363e-01 -1.426136e-03 1.625333e-03 -9.999977e-01 -6.595421e-01 7.516645e-01 2.162307e-03 7.516663e-01 6.595436e-01 6.123234e-17
9.490000e-01 4.295384e-04 3.320754e-01 3.737991e-01 -8.603911e-04 9.658454e-04 -9.999992e-01 -6.651670e-01 7.466935e-01 1.293495e-03 7.466942e-01 6.651675e-01 6.123234e-17
9.590000e-01 2.312059e-04 3.346195e-01 3.715236e-01 -4.630311e-04 5.128512e-04 -9.999998e-01 -6.701351e-01 7.422388e-01 6.909517e-04 7.422390e-01 6.701353e-01 6.123234e-17
9.690000e-01 1.043214e-04 3.368621e-01 3.694914e-01 -2.088871e-04 2.286296e-04 -1.000000e+00 -6.745129e-01 7.382630e-01 3.096858e-04 7.382630e-01 6.745130e-01 6.123234e-17
9.790000e-01 3.452866e-05 3.388355e-01 3.676826e-01 -6.912798e-05 7.487143e-05 -1.000000e+00 -6.783643e-01 7.347257e-01 1.019039e-04 7.347257e-01 6.783643e-01 6.123234e-17
9.890000e-01 5.707484e-06 3.405702e-01 3.660764e-01 -1.142518e-05 1.226036e-05 -1.000000e+00 -6.817497e-01 7.315855e-01 1.675861e-05 7.315855e-01 6.817497e-01 6.123234e-17
9.990000e-01 4.481164e-08 3.420949e-01 3.646520e-01 -8.969343e-08 9.546700e-08 -1.000000e+00 -6.847254e-01 7.288012e-01 1.309918e-07 7.288012e-01 6.847254e-01 6.123234e-17
