#2.500000e-01 0.000000e+00 0.000000e+00 5.000000e-01 5.000000e-02 5.000000e-02
#time r_i_B0(1) r_i_B0(2) r_i_B0(3)  T_B0(1,1)  T_B0(2,1)  T_B0(3,1)  T_B0(1,2)  T_B0(2,2)  T_B0(3,2)  T_B0(1,3)  T_B0(2,3)  T_B0(3,3) 
5.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.981954e-02 6.604426e-01 -7.492220e-01 5.635638e-02 7.470994e-01 6.623190e-01 9.971670e-01 -7.521987e-02 6.123234e-17
5.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.568025e-02 6.323744e-01 -7.733149e-01 5.571607e-02 7.713052e-01 6.340221e-01 9.974011e-01 -7.204835e-02 6.123234e-17
5.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.302407e-02 6.036302e-01 -7.961027e-01 5.659906e-02 7.940882e-01 6.051615e-01 9.974695e-01 -7.109518e-02 6.123234e-17
5.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.164343e-02 5.744201e-01 -8.175007e-01 5.911079e-02 8.153608e-01 5.759276e-01 9.973824e-01 -7.230671e-02 6.123234e-17
5.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.132142e-02 5.449482e-01 -8.374509e-01 6.331905e-02 8.350537e-01 5.465126e-01 9.971375e-01 -7.560928e-02 6.123234e-17
5.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.184034e-02 5.154100e-01 -8.559217e-01 6.925485e-02 8.531153e-01 5.171054e-01 9.967212e-01 -8.091260e-02 6.123234e-17
5.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.298928e-02 4.859890e-01 -8.729070e-01 7.691468e-02 8.695118e-01 4.878866e-01 9.961105e-01 -8.811326e-02 6.123234e-17
5.890000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.457032e-02 4.568555e-01 -8.884236e-01 8.626409e-02 8.842257e-01 4.590245e-01 9.952748e-01 -9.709792e-02 6.123234e-17
5.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.640322e-02 4.281645e-01 -9.025087e-01 9.724185e-02 8.972547e-01 4.306716e-01 9.941784e-01 -1.077462e-01 6.123234e-17
6.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.832862e-02 4.000547e-01 -9.152161e-01 1.097647e-01 9.086101e-01 4.029633e-01 9.927820e-01 -1.199331e-01 6.123234e-17
6.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.020981e-02 3.726482e-01 -9.266134e-01 1.237318e-01 9.183152e-01 3.760156e-01 9.910446e-01 -1.335312e-01 6.123234e-17
6.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.193333e-02 3.460502e-01 -9.367775e-01 1.390295e-01 9.264032e-01 3.499255e-01 9.889255e-01 -1.484125e-01 6.123234e-17
6.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.340849e-02 3.203497e-01 -9.457926e-01 1.555352e-01 9.329161e-01 3.247713e-01 9.863855e-01 -1.644496e-01 6.123234e-17
6.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.456626e-02 2.956196e-01 -9.537461e-01 1.731205e-01 9.379024e-01 3.006135e-01 9.833879e-01 -1.815164e-01 6.123234e-17
6.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.535752e-02 2.719184e-01 -9.607268e-01 1.916548e-01 9.414162e-01 2.774960e-01 9.799000e-01 -1.994894e-01 6.123234e-17
6.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.575105e-02 2.492905e-01 -9.668227e-01 2.110068e-01 9.435159e-01 2.554485e-01 9.758934e-01 -2.182477e-01 6.123234e-17
6.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.573138e-02 2.277681e-01 -9.721192e-01 2.310468e-01 9.442632e-01 2.344873e-01 9.713451e-01 -2.376733e-01 6.123234e-17
6.890000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.529659e-02 2.073721e-01 -9.766981e-01 2.516474e-01 9.437228e-01 2.146181e-01 9.662380e-01 -2.576511e-01 6.123234e-17
6.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.445615e-02 1.881133e-01 -9.806365e-01 2.726846e-01 9.419613e-01 1.958368e-01 9.605611e-01 -2.780690e-01 6.123234e-17
7.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.322896e-02 1.699935e-01 -9.840066e-01 2.940380e-01 9.390477e-01 1.781322e-01 9.543104e-01 -2.988171e-01 6.123234e-17
7.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.164151e-02 1.530068e-01 -9.868749e-01 3.155909e-01 9.350532e-01 1.614866e-01 9.474891e-01 -3.197881e-01 6.123234e-17
7.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.972627e-02 1.371407e-01 -9.893026e-01 3.372302e-01 9.300513e-01 1.458776e-01 9.401080e-01 -3.408767e-01 6.123234e-17
7.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.752022e-02 1.223764e-01 -9.913455e-01 3.588464e-01 9.241186e-01 1.312789e-01 9.321862e-01 -3.619791e-01 6.123234e-17
7.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.506362e-02 1.086901e-01 -9.930537e-01 3.803328e-01 9.173346e-01 1.176617e-01 9.237512e-01 -3.829932e-01 6.123234e-17
7.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.239891e-02 9.605369e-02 -9.944727e-01 4.015858e-01 9.097829e-01 1.049951e-01 9.148394e-01 -4.038178e-01 6.123234e-17
7.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.956974e-02 8.443493e-02 -9.956430e-01 4.225047e-01 9.015513e-01 9.324711e-02 9.054966e-01 -4.243536e-01 6.123234e-17
7.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.662021e-02 7.379839e-02 -9.966006e-01 4.429914e-01 8.927325e-01 8.238472e-02 8.957776e-01 -4.445024e-01 6.123234e-17
7.890000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.359407e-02 6.410567e-02 -9.973775e-01 4.629514e-01 8.834240e-01 7.237471e-02 8.857468e-01 -4.641687e-01 6.123234e-17
7.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.053413e-02 5.531591e-02 -9.980019e-01 4.822939e-01 8.737279e-01 6.318372e-02 8.754772e-01 -4.832595e-01 6.123234e-17
8.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.748165e-02 4.738613e-02 -9.984985e-01 5.009332e-01 8.637507e-01 5.477852e-02 8.650495e-01 -5.016865e-01 6.123234e-17
8.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.447575e-02 4.027167e-02 -9.988889e-01 5.187901e-01 8.536018e-01 4.712611e-02 8.545512e-01 -5.193671e-01 6.123234e-17
8.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.155295e-02 3.392651e-02 -9.991919e-01 5.357931e-01 8.433921e-01 4.019375e-02 8.440742e-01 -5.362264e-01 6.123234e-17
8.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.874662e-02 2.830372e-02 -9.994236e-01 5.518807e-01 8.332317e-01 3.394903e-02 8.337123e-01 -5.521991e-01 6.123234e-17
8.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.608652e-02 2.335589e-02 -9.995978e-01 5.670031e-01 8.232273e-01 2.835972e-02 8.235585e-01 -5.672313e-01 6.123234e-17
8.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.359838e-02 1.903553e-02 -9.997263e-01 5.811236e-01 8.134790e-01 2.339375e-02 8.137017e-01 -5.812827e-01 6.123234e-17
8.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.130352e-02 1.529553e-02 -9.998191e-01 5.942200e-01 8.040777e-01 1.901901e-02 8.042231e-01 -5.943275e-01 6.123234e-17
8.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.218566e-03 1.208952e-02 -9.998844e-01 6.062852e-01 7.951019e-01 1.520324e-02 7.951939e-01 -6.063553e-01 6.123234e-17
8.890000e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.355229e-03 9.372240e-03 -9.999290e-01 6.173275e-01 7.866161e-01 1.191379e-02 7.866719e-01 -6.173713e-01 6.123234e-17
8.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.720210e-03 7.099723e-03 -9.999584e-01 6.273692e-01 7.786686e-01 9.117393e-03 7.787009e-01 -6.273953e-01 6.123234e-17
9.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.315184e-03 5.229453e-03 -9.999770e-01 6.364460e-01 7.712915e-01 6.779970e-03 7.713092e-01 -6.364606e-01 6.123234e-17
9.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.136885e-03 3.720346e-03 -9.999882e-01 6.446044e-01 7.645008e-01 4.866315e-03 7.645099e-01 -6.446120e-01 6.123234e-17
9.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.177255e-03 2.532611e-03 -9.999944e-01 6.518996e-01 7.582979e-01 3.339844e-03 7.583021e-01 -6.519033e-01 6.123234e-17
9.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.423652e-03 1.627510e-03 -9.999977e-01 6.583933e-01 7.526709e-01 2.162307e-03 7.526727e-01 -6.583949e-01 6.123234e-17
9.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.590767e-04 9.670147e-04 -9.999992e-01 6.641508e-01 7.475975e-01 1.293495e-03 7.475981e-01 -6.641514e-01 6.123234e-17
9.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.624119e-04 5.134096e-04 -9.999998e-01 6.692390e-01 7.430469e-01 6.909517e-04 7.430471e-01 -6.692391e-01 6.123234e-17
9.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.086428e-04 2.288525e-04 -1.000000e+00 6.737242e-01 7.389828e-01 3.096858e-04 7.389829e-01 -6.737242e-01 6.123234e-17
9.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.905732e-05 7.493660e-05 -1.000000e+00 6.776709e-01 7.353653e-01 1.019039e-04 7.353653e-01 -6.776710e-01 6.123234e-17
9.890000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.141497e-05 1.226986e-05 -1.000000e+00 6.811405e-01 7.321528e-01 1.675861e-05 7.321528e-01 -6.811405e-01 6.123234e-17
9.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.962328e-08 9.553286e-08 -1.000000e+00 6.841899e-01 7.293039e-01 1.309918e-07 7.293039e-01 -6.841899e-01 6.123234e-17
